group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
7,RP11-733O18.1,-0.04131337,1.1777073,0.9670460757069544,0.9893323898445292,1.0,1.0
7,CEP83-AS1,-0.04131337,1.2234638,0.9670460757069544,0.9893323898445292,1.0,1.0
7,CXCL13,-0.04131337,1.206826,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-1246C19.1,-0.04131337,1.1919732,0.9670460757069544,0.9893323898445292,1.0,1.0
7,NME8,-0.04131337,1.1948369,0.9670460757069544,0.9893323898445292,1.0,1.0
7,JAKMIP1,-0.04131337,1.1724899,0.9670460757069544,0.9893323898445292,1.0,1.0
7,IRX1,-0.04131337,1.214265,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP4-548D19.3,-0.04131337,1.2005476,0.9670460757069544,0.9893323898445292,1.0,1.0
7,DIAPH2-AS1,-0.04131337,1.1877184,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-53B2.3,-0.04131337,1.1885829,0.9670460757069544,0.9893323898445292,1.0,1.0
7,CTD-2515O10.5,-0.04131337,1.194629,0.9670460757069544,0.9893323898445292,1.0,1.0
7,CTD-2515A14.1,-0.04131337,1.2392538,0.9670460757069544,0.9893323898445292,1.0,1.0
7,SGPP2,-0.04131337,1.2128662,0.9670460757069544,0.9893323898445292,1.0,1.0
7,SLX1A,-0.04131337,1.2057142,0.9670460757069544,0.9893323898445292,1.0,1.0
7,KCNJ13,-0.04131337,1.2365533,0.9670460757069544,0.9893323898445292,1.0,1.0
7,KLRF1,-0.04131337,1.2052383,0.9670460757069544,0.9893323898445292,1.0,1.0
7,MT3,-0.04131337,1.1841562,0.9670460757069544,0.9893323898445292,1.0,1.0
7,CTC-325H20.4,-0.04131337,1.224801,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-119D9.1,-0.04131337,1.1808847,0.9670460757069544,0.9893323898445292,1.0,1.0
7,MYO7A,-0.04131337,1.1992682,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RHD,-0.04131337,1.2078723,0.9670460757069544,0.9893323898445292,1.0,1.0
7,MORN1,-0.04131337,1.2005589,0.9670460757069544,0.9893323898445292,1.0,1.0
7,FAM167B,-0.04131337,1.2018844,0.9670460757069544,0.9893323898445292,1.0,1.0
7,PRSS21,-0.04131337,1.1942853,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-996F15.6,-0.04131337,1.2136631,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RND1,-0.04131337,1.2071558,0.9670460757069544,0.9893323898445292,1.0,1.0
7,CACNA1C-AS2,-0.04131337,1.2058802,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RLN2,-0.04131337,1.1915376,0.9670460757069544,0.9893323898445292,1.0,1.0
7,SLC47A1,-0.04131337,1.2137765,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-348N5.7,-0.04131337,1.200246,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-326C3.2,-0.04131337,1.1785028,0.9670460757069544,0.9893323898445292,1.0,1.0
7,C9orf139,-0.04131337,1.2089243,0.9670460757069544,0.9893323898445292,1.0,1.0
7,FGF18,-0.04131337,1.2174661,0.9670460757069544,0.9893323898445292,1.0,1.0
7,GPR135,-0.04131337,1.1863102,0.9670460757069544,0.9893323898445292,1.0,1.0
7,ADORA3,-0.04131337,1.1895297,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-286N22.8,-0.04131337,1.2369089,0.9670460757069544,0.9893323898445292,1.0,1.0
7,TRAV17,-0.04131337,1.1803021,0.9670460757069544,0.9893323898445292,1.0,1.0
7,MZB1,-0.04131337,1.1737592,0.9670460757069544,0.9893323898445292,1.0,1.0
7,MIR646HG,-0.04131337,1.1933072,0.9670460757069544,0.9893323898445292,1.0,1.0
7,CHRNA1,-0.04131337,1.1933758,0.9670460757069544,0.9893323898445292,1.0,1.0
7,ANKRD20A3,-0.04131337,1.2190408,0.9670460757069544,0.9893323898445292,1.0,1.0
7,PARD6B,-0.04131337,1.2069082,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP11-434B12.1,-0.04131337,1.1975704,0.9670460757069544,0.9893323898445292,1.0,1.0
7,RP4-563E14.1,-0.04131337,1.199851,0.9670460757069544,0.9893323898445292,1.0,1.0
7,FXYD7,-0.043529883,,0.9652791439254529,0.9893323898445292,1.0,1.0
7,PARP15,-0.04439186,,0.9645920493499425,0.9893323898445292,1.0,1.0
7,LINC01480,-0.04506913,1.2927827,0.9640522077447619,0.9893323898445292,1.0,1.0
7,RP11-301O19.1,-0.04506913,1.2998286,0.9640522077447619,0.9893323898445292,1.0,1.0
7,IGLC3,-0.04506913,1.3008076,0.9640522077447619,0.9893323898445292,1.0,1.0
7,MS4A1,-0.04506913,1.2710756,0.9640522077447619,0.9893323898445292,1.0,1.0
7,PCAT1,-0.04506913,1.3019238,0.9640522077447619,0.9893323898445292,1.0,1.0
7,STC1,-0.04506913,1.2681537,0.9640522077447619,0.9893323898445292,1.0,1.0
7,GPR19,-0.04506913,1.3297871,0.9640522077447619,0.9893323898445292,1.0,1.0
7,RP11-820I16.4,-0.04506913,1.292896,0.9640522077447619,0.9893323898445292,1.0,1.0
7,ITGA2B,-0.04506913,1.2801883,0.9640522077447619,0.9893323898445292,1.0,1.0
7,JPH4,-0.04506913,1.2832106,0.9640522077447619,0.9893323898445292,1.0,1.0
7,SMYD5,-0.04506913,1.2948036,0.9640522077447619,0.9893323898445292,1.0,1.0
7,UPB1,-0.04506913,1.2991815,0.9640522077447619,0.9893323898445292,1.0,1.0
7,LCTL,-0.04506913,1.2951978,0.9640522077447619,0.9893323898445292,1.0,1.0
7,AC002306.1,-0.04506913,1.2955637,0.9640522077447619,0.9893323898445292,1.0,1.0
7,HBA1,-0.04506913,1.3330101,0.9640522077447619,0.9893323898445292,1.0,1.0
7,TTC25,-0.04506913,1.2786046,0.9640522077447619,0.9893323898445292,1.0,1.0
7,RP11-334C17.5,-0.04506913,1.3035389,0.9640522077447619,0.9893323898445292,1.0,1.0
7,CTD-2341M24.1,-0.04506913,1.2756705,0.9640522077447619,0.9893323898445292,1.0,1.0
7,RP11-701P16.2,-0.04506913,1.2780746,0.9640522077447619,0.9893323898445292,1.0,1.0
7,RP11-583F2.5,-0.04506913,1.273173,0.9640522077447619,0.9893323898445292,1.0,1.0
7,ZNF696,-0.04506913,1.281814,0.9640522077447619,0.9893323898445292,1.0,1.0
7,LINC01504,-0.04506913,1.2730807,0.9640522077447619,0.9893323898445292,1.0,1.0
7,LA16c-358B7.3,-0.04506913,1.2874442,0.9640522077447619,0.9893323898445292,1.0,1.0
7,LTF,-0.04506913,1.2521297,0.9640522077447619,0.9893323898445292,1.0,1.0
7,BLK,-0.04506913,1.2569158,0.9640522077447619,0.9893323898445292,1.0,1.0
7,RP11-490O6.2,-0.04506913,1.2980075,0.9640522077447619,0.9893323898445292,1.0,1.0
7,MTL5,-0.04506913,1.2869617,0.9640522077447619,0.9893323898445292,1.0,1.0
7,KLRC4,-0.04506913,1.2499081,0.9640522077447619,0.9893323898445292,1.0,1.0
7,RP11-500G22.5,-0.04506913,1.2737496,0.9640522077447619,0.9893323898445292,1.0,1.0
7,ECT2L,-0.04506913,1.2801263,0.9640522077447619,0.9893323898445292,1.0,1.0
7,AP003774.1,-0.04506913,1.2811407,0.9640522077447619,0.9893323898445292,1.0,1.0
7,PRLR,-0.04506913,1.2856239,0.9640522077447619,0.9893323898445292,1.0,1.0
